discussion topic- Occlusion Area with Caption: 0.8046783625730994
listener face- Occlusion Area with Caption: 0
listener face- Occlusion Area with Caption: 0
speaker eyes- Occlusion Area with Caption: 0
speaker mouth- Occlusion Area with Caption: 0
speaker eyes- Occlusion Area with Caption: 0
speaker mouth- Occlusion Area with Caption: 0
speaker eyes- Occlusion Area with Caption: 0
speaker mouth- Occlusion Area with Caption: 0
speaker mouth- Occlusion Area with Caption: 0
listener face- Occlusion Area with Caption: 0.4444444444444444
